,avancealas,department_name,mesas_number,mesas_percentage,mesas_total,municipality_name,no_percentage,no_votes,resaltar,si_percentage,si_votes,url,votacion_percentage,votacion_personas_number,votacion_personas_total,votosnomarcados,votosnulos,votosvalidos
153,16:55:15,Atlantico,56.0,100.0,56.0,Luruaco,35.48,1246.0,8.0,64.51,2265.0,http://plebiscito.registraduria.gov.co/99PL/DPL03019ZZZZZZZZZZZZ_L1.htm,15.44,3564.0,23080.0,1,25,3511.0
154,17:00:15,Atlantico,164.0,100.0,164.0,Malambo,43.94,6908.0,10.0,56.05,8810.0,http://plebiscito.registraduria.gov.co/99PL/DPL03022ZZZZZZZZZZZZ_L1.htm,21.15,15857.0,74964.0,18,94,15718.0
155,16:40:15,Atlantico,31.0,100.0,31.0,Manati,16.03,317.0,5.0,83.96,1660.0,http://plebiscito.registraduria.gov.co/99PL/DPL03025ZZZZZZZZZZZZ_L1.htm,14.87,1995.0,13416.0,7,10,1977.0
156,16:30:15,Atlantico,45.0,100.0,45.0,Palmar De Varela,28.0,1117.0,3.0,71.99,2871.0,http://plebiscito.registraduria.gov.co/99PL/DPL03028ZZZZZZZZZZZZ_L1.htm,21.72,4265.0,19636.0,8,22,3988.0
157,16:40:15,Atlantico,14.0,100.0,14.0,Piojo,25.91,391.0,5.0,74.08,1118.0,http://plebiscito.registraduria.gov.co/99PL/DPL03031ZZZZZZZZZZZZ_L1.htm,28.41,1537.0,5409.0,9,15,1509.0
158,16:50:15,Atlantico,29.0,100.0,29.0,Polonuevo,18.87,639.0,6.0,81.12,2746.0,http://plebiscito.registraduria.gov.co/99PL/DPL03034ZZZZZZZZZZZZ_L1.htm,28.06,3437.0,12246.0,5,29,3385.0
159,16:50:15,Atlantico,42.0,100.0,42.0,Ponedera,36.75,1421.0,7.0,63.24,2445.0,http://plebiscito.registraduria.gov.co/99PL/DPL03035ZZZZZZZZZZZZ_L1.htm,21.99,3909.0,17776.0,6,20,3866.0
160,16:45:15,Atlantico,74.0,100.0,74.0,Puerto Colombia,38.47,3565.0,6.0,61.52,5701.0,http://plebiscito.registraduria.gov.co/99PL/DPL03037ZZZZZZZZZZZZ_L1.htm,29.63,9330.0,31487.0,6,38,9266.0
161,16:45:15,Atlantico,44.0,100.0,44.0,Repelon,19.95,829.0,7.0,80.04,3325.0,http://plebiscito.registraduria.gov.co/99PL/DPL03040ZZZZZZZZZZZZ_L1.htm,22.86,4213.0,18423.0,4,24,4154.0
162,16:40:15,Atlantico,54.0,100.0,54.0,Sabanagrande,36.07,1835.0,6.0,63.92,3251.0,http://plebiscito.registraduria.gov.co/99PL/DPL03043ZZZZZZZZZZZZ_L1.htm,22.52,5132.0,22784.0,6,29,5086.0
163,17:00:15,Atlantico,151.0,100.0,151.0,Sabanalarga,26.62,4663.0,10.0,73.37,12851.0,http://plebiscito.registraduria.gov.co/99PL/DPL03046ZZZZZZZZZZZZ_L1.htm,27.85,18077.0,64908.0,14,142,17514.0
164,16:40:15,Atlantico,24.0,100.0,24.0,Santa Lucia,24.69,481.0,5.0,75.3,1467.0,http://plebiscito.registraduria.gov.co/99PL/DPL03047ZZZZZZZZZZZZ_L1.htm,19.83,1969.0,9928.0,8,18,1948.0
165,16:40:15,Atlantico,62.0,100.0,62.0,Santo Tomas,28.3,1614.0,7.0,71.69,4088.0,http://plebiscito.registraduria.gov.co/99PL/DPL03049ZZZZZZZZZZZZ_L1.htm,22.2,5743.0,25858.0,2,24,5702.0
166,16:50:15,Atlantico,606.0,100.0,606.0,Soledad,41.02,23487.0,8.0,58.97,33765.0,http://plebiscito.registraduria.gov.co/99PL/DPL03052ZZZZZZZZZZZZ_L1.htm,21.86,57785.0,264289.0,52,307,57252.0
167,16:35:15,Atlantico,22.0,100.0,22.0,Suan,24.15,585.0,4.0,75.84,1837.0,http://plebiscito.registraduria.gov.co/99PL/DPL03055ZZZZZZZZZZZZ_L1.htm,25.41,2428.0,9555.0,2,3,2422.0
168,16:45:15,Atlantico,24.0,100.0,24.0,Tubara,32.23,898.0,7.0,67.76,1888.0,http://plebiscito.registraduria.gov.co/99PL/DPL03058ZZZZZZZZZZZZ_L1.htm,29.73,2819.0,9481.0,6,16,2786.0
169,16:40:15,Atlantico,17.0,100.0,17.0,Usiacuri,22.57,489.0,4.0,77.42,1677.0,http://plebiscito.registraduria.gov.co/99PL/DPL03061ZZZZZZZZZZZZ_L1.htm,29.27,2195.0,7497.0,6,15,2166.0
170,17:10:15,Bogota D.C.,12078.0,100.0,12078.0,Todos,43.92,1114933.0,14.0,56.07,1423612.0,http://plebiscito.registraduria.gov.co/99PL/DPL16ZZZZZZZZZZZZZZZ_L1.htm,46.33,2570359.0,5547172.0,8.545,25.213,2538545.0
171,17:10:15,Bogota D.C.,12078.0,100.0,12078.0,Bogota. D.C.,43.92,1114933.0,14.0,56.07,1423612.0,http://plebiscito.registraduria.gov.co/99PL/DPL16001ZZZZZZZZZZZZ_L1.htm,46.33,2570359.0,5547172.0,8.545,25.213,2538545.0
172,18:45:15,Bolivar,3577.0,100.0,3577.0,Todos,39.76,137307.0,19.0,60.23,208019.0,http://plebiscito.registraduria.gov.co/99PL/DPL05ZZZZZZZZZZZZZZZ_L1.htm,23.33,350488.0,1502228.0,326,2.623,345326.0
173,17:10:15,Bolivar,44.0,100.0,44.0,Achi,30.31,1874.0,10.0,69.68,4307.0,http://plebiscito.registraduria.gov.co/99PL/DPL05004ZZZZZZZZZZZZ_L1.htm,40.18,6329.0,15748.0,1,87,6181.0
174,16:40:15,Bolivar,18.0,100.0,18.0,Altos Del Rosario,43.33,601.0,6.0,56.66,786.0,http://plebiscito.registraduria.gov.co/99PL/DPL05006ZZZZZZZZZZZZ_L1.htm,21.35,1424.0,6667.0,7,15,1387.0
175,16:45:15,Bolivar,14.0,100.0,14.0,Arenal,11.93,229.0,6.0,88.06,1690.0,http://plebiscito.registraduria.gov.co/99PL/DPL05005ZZZZZZZZZZZZ_L1.htm,34.66,1950.0,5625.0,9,23,1919.0
176,17:00:15,Bolivar,113.0,100.0,113.0,Arjona,37.65,3642.0,10.0,62.34,6030.0,http://plebiscito.registraduria.gov.co/99PL/DPL05007ZZZZZZZZZZZZ_L1.htm,19.15,9785.0,51077.0,2,63,9672.0
177,16:55:15,Bolivar,21.0,100.0,21.0,Arroyo Hondo,24.51,363.0,8.0,75.48,1118.0,http://plebiscito.registraduria.gov.co/99PL/DPL05009ZZZZZZZZZZZZ_L1.htm,20.59,1516.0,7362.0,1,7,1481.0
178,16:45:15,Bolivar,30.0,100.0,30.0,Barranco De Loba,46.7,1284.0,7.0,53.29,1465.0,http://plebiscito.registraduria.gov.co/99PL/DPL05010ZZZZZZZZZZZZ_L1.htm,25.56,2830.0,11068.0,9,22,2749.0
179,16:55:15,Bolivar,44.0,100.0,44.0,Calamar,41.04,1490.0,8.0,58.95,2140.0,http://plebiscito.registraduria.gov.co/99PL/DPL05013ZZZZZZZZZZZZ_L1.htm,21.02,3715.0,17670.0,0,37,3630.0
180,17:35:15,Bolivar,15.0,100.0,15.0,Cantagallo,28.04,732.0,9.0,71.95,1878.0,http://plebiscito.registraduria.gov.co/99PL/DPL05014ZZZZZZZZZZZZ_L1.htm,43.95,2671.0,6076.0,0,44,2610.0
181,17:10:15,Bolivar,1654.0,100.0,1654.0,Cartagena,44.26,64735.0,13.0,55.73,81500.0,http://plebiscito.registraduria.gov.co/99PL/DPL05001ZZZZZZZZZZZZ_L1.htm,20.12,147441.0,732774.0,235,518,146235.0
182,16:50:15,Bolivar,24.0,100.0,24.0,Cicuco,29.13,856.0,8.0,70.86,2082.0,http://plebiscito.registraduria.gov.co/99PL/DPL05015ZZZZZZZZZZZZ_L1.htm,31.97,2988.0,9346.0,8,21,2938.0
183,17:00:15,Bolivar,24.0,100.0,24.0,Clemencia,33.98,590.0,6.0,66.01,1146.0,http://plebiscito.registraduria.gov.co/99PL/DPL05018ZZZZZZZZZZZZ_L1.htm,17.19,1772.0,10304.0,6,17,1736.0
184,17:05:15,Bolivar,35.0,100.0,35.0,Cordoba,21.69,1001.0,8.0,78.3,3612.0,http://plebiscito.registraduria.gov.co/99PL/DPL05016ZZZZZZZZZZZZ_L1.htm,36.17,4722.0,13053.0,3,43,4613.0
185,18:45:15,Bolivar,129.0,100.0,129.0,El Carmen De Bolivar,46.79,7290.0,14.0,53.2,8287.0,http://plebiscito.registraduria.gov.co/99PL/DPL05022ZZZZZZZZZZZZ_L1.htm,29.8,15922.0,53418.0,77,216,15577.0
186,16:40:15,Bolivar,19.0,100.0,19.0,El Guamo,20.42,405.0,5.0,79.57,1578.0,http://plebiscito.registraduria.gov.co/99PL/DPL05025ZZZZZZZZZZZZ_L1.htm,27.69,2017.0,7284.0,3,11,1983.0
187,16:45:15,Bolivar,17.0,100.0,17.0,El Peñon,38.65,574.0,6.0,61.34,911.0,http://plebiscito.registraduria.gov.co/99PL/DPL05027ZZZZZZZZZZZZ_L1.htm,26.09,1519.0,5820.0,5,15,1485.0
188,16:50:15,Bolivar,26.0,100.0,26.0,Hatillo De Loba,49.29,1285.0,7.0,50.7,1322.0,http://plebiscito.registraduria.gov.co/99PL/DPL05026ZZZZZZZZZZZZ_L1.htm,26.88,2648.0,9848.0,7,25,2607.0
189,17:05:15,Bolivar,227.0,100.0,227.0,Magangue,37.68,9966.0,11.0,62.31,16478.0,http://plebiscito.registraduria.gov.co/99PL/DPL05028ZZZZZZZZZZZZ_L1.htm,28.76,26911.0,93554.0,44,261,26444.0
190,16:40:15,Bolivar,48.0,100.0,48.0,Mahates,30.24,1222.0,6.0,69.75,2819.0,http://plebiscito.registraduria.gov.co/99PL/DPL05031ZZZZZZZZZZZZ_L1.htm,21.21,4121.0,19421.0,1,32,4041.0
191,16:45:15,Bolivar,26.0,100.0,26.0,Margarita,40.3,919.0,7.0,59.69,1361.0,http://plebiscito.registraduria.gov.co/99PL/DPL05037ZZZZZZZZZZZZ_L1.htm,26.38,2326.0,8814.0,0,13,2280.0
192,17:20:15,Bolivar,92.0,100.0,92.0,Maria La Baja,20.07,1761.0,13.0,79.92,7009.0,http://plebiscito.registraduria.gov.co/99PL/DPL05040ZZZZZZZZZZZZ_L1.htm,23.65,8940.0,37800.0,0,73,8770.0
193,17:10:15,Bolivar,92.0,100.0,92.0,Mompos,36.87,3036.0,10.0,63.12,5198.0,http://plebiscito.registraduria.gov.co/99PL/DPL05043ZZZZZZZZZZZZ_L1.htm,23.93,8361.0,34934.0,4,68,8234.0
194,16:40:15,Bolivar,25.0,100.0,25.0,Montecristo,19.29,395.0,6.0,80.7,1652.0,http://plebiscito.registraduria.gov.co/99PL/DPL05041ZZZZZZZZZZZZ_L1.htm,25.11,2099.0,8357.0,7,17,2047.0
195,17:10:15,Bolivar,29.0,100.0,29.0,Morales,53.25,2206.0,8.0,46.74,1936.0,http://plebiscito.registraduria.gov.co/99PL/DPL05044ZZZZZZZZZZZZ_L1.htm,38.87,4215.0,10842.0,2,39,4142.0
196,16:55:15,Bolivar,11.0,100.0,11.0,Norosi,15.44,177.0,6.0,84.55,969.0,http://plebiscito.registraduria.gov.co/99PL/DPL05050ZZZZZZZZZZZZ_L1.htm,31.61,1169.0,3698.0,6,14,1146.0
197,17:05:15,Bolivar,50.0,100.0,50.0,Pinillos,38.8,1885.0,11.0,61.19,2973.0,http://plebiscito.registraduria.gov.co/99PL/DPL05059ZZZZZZZZZZZZ_L1.htm,30.53,4948.0,16205.0,8,41,4858.0
198,16:45:15,Bolivar,13.0,100.0,13.0,Regidor,22.82,323.0,6.0,77.17,1092.0,http://plebiscito.registraduria.gov.co/99PL/DPL05063ZZZZZZZZZZZZ_L1.htm,31.99,1437.0,4492.0,5,18,1415.0
