,avancealas,department_name,mesas_number,mesas_percentage,mesas_total,municipality_name,no_percentage,no_votes,resaltar,si_percentage,si_votes,url,votacion_percentage,votacion_personas_number,votacion_personas_total,votosnomarcados,votosnulos,votosvalidos,idps_avg19992014
1207,16:50:15,Santander,41,100.0, 41,Malaga,61.68,4086.0,8.0,38.31,2538.0,http://plebiscito.registraduria.gov.co/99PL/DPL27130ZZZZZZZZZZZZ_L1.htm,43.67,6841.0,15663.0,4,178,6.624,21.1333333333
1208,16:40:15,Santander,14,100.0, 14,Matanza,60.63,1334.0,5.0,39.36,866.0,http://plebiscito.registraduria.gov.co/99PL/DPL27133ZZZZZZZZZZZZ_L1.htm,46.48,2256.0,4853.0,0,39,2.200,17.2666666667
1209,16:35:15,Santander,21,100.0, 21,Mogotes,56.3,1501.0,6.0,43.69,1165.0,http://plebiscito.registraduria.gov.co/99PL/DPL27136ZZZZZZZZZZZZ_L1.htm,37.99,2854.0,7512.0,6,128,2.666,9.2
1210,17:00:15,Santander,15,100.0, 15,Molagavita,60.98,830.0,5.0,39.01,531.0,http://plebiscito.registraduria.gov.co/99PL/DPL27139ZZZZZZZZZZZZ_L1.htm,39.89,1433.0,3592.0,1,38,1.361,4.21428571429
1211,16:35:15,Santander,9,100.0, 9,Ocamonte,30.22,489.0,4.0,69.77,1129.0,http://plebiscito.registraduria.gov.co/99PL/DPL27142ZZZZZZZZZZZZ_L1.htm,44.26,1670.0,3773.0,8,35,1.618,0.642857142857
1212,16:45:15,Santander,20,100.0, 20,Oiba,55.58,1931.0,6.0,44.41,1543.0,http://plebiscito.registraduria.gov.co/99PL/DPL27145ZZZZZZZZZZZZ_L1.htm,42.39,3582.0,8450.0,4,79,3.474,12.0625
1213,16:55:15,Santander,12,100.0, 12,Onzaga,46.63,554.0,5.0,53.36,634.0,http://plebiscito.registraduria.gov.co/99PL/DPL27148ZZZZZZZZZZZZ_L1.htm,33.62,1276.0,3795.0,8,41,1.188,3.73333333333
1214,16:30:15,Santander,4,100.0, 4,Palmar,31.55,183.0,3.0,68.44,397.0,http://plebiscito.registraduria.gov.co/99PL/DPL27151ZZZZZZZZZZZZ_L1.htm,43.9,594.0,1353.0,,6,580,0.357142857143
1215,16:30:15,Santander,6,100.0, 6,Palmas Del Socorro,46.43,456.0,4.0,53.56,526.0,http://plebiscito.registraduria.gov.co/99PL/DPL27154ZZZZZZZZZZZZ_L1.htm,41.29,1013.0,2453.0,,20,982,2.28571428571
1216,16:30:15,Santander,9,100.0, 9,Paramo,48.8,754.0,4.0,51.19,791.0,http://plebiscito.registraduria.gov.co/99PL/DPL27157ZZZZZZZZZZZZ_L1.htm,49.54,1586.0,3201.0,5,33,1.545,0.5
1217,17:05:15,Santander,242,100.0, 242,Piedecuesta,60.08,28817.0,11.0,39.91,19145.0,http://plebiscito.registraduria.gov.co/99PL/DPL27160ZZZZZZZZZZZZ_L1.htm,48.81,49041.0,100462.0,62,739,47.962,356.8125
1218,16:35:15,Santander,8,100.0, 8,Pinchote,43.74,577.0,4.0,56.25,742.0,http://plebiscito.registraduria.gov.co/99PL/DPL27163ZZZZZZZZZZZZ_L1.htm,42.65,1357.0,3181.0,9,25,1.319,0.692307692308
1219,16:30:15,Santander,37,100.0, 37,Puente Nacional,42.69,1857.0,4.0,57.3,2492.0,http://plebiscito.registraduria.gov.co/99PL/DPL27166ZZZZZZZZZZZZ_L1.htm,34.62,4456.0,12869.0,9,72,4.349,5.2
1220,16:50:15,Santander,14,100.0, 14,Puerto Parra,67.81,1026.0,6.0,32.18,487.0,http://plebiscito.registraduria.gov.co/99PL/DPL27167ZZZZZZZZZZZZ_L1.htm,28.53,1545.0,5414.0,3,17,1.513,16.1333333333
1221,17:05:15,Santander,62,100.0, 62,Puerto Wilches,51.3,4317.0,9.0,48.69,4098.0,http://plebiscito.registraduria.gov.co/99PL/DPL27169ZZZZZZZZZZZZ_L1.htm,37.7,8619.0,22860.0,5,162,8.415,144.866666667
1222,17:15:15,Santander,47,100.0, 47,Sabana De Torres,69.14,5347.0,8.0,30.85,2386.0,http://plebiscito.registraduria.gov.co/99PL/DPL27174ZZZZZZZZZZZZ_L1.htm,38.46,7916.0,20581.0,3,124,7.733,108.533333333
1223,16:35:15,Santander,7,100.0, 7,San Benito,32.32,279.0,3.0,67.67,584.0,http://plebiscito.registraduria.gov.co/99PL/DPL27178ZZZZZZZZZZZZ_L1.htm,29.44,880.0,2989.0,,8,863,0.571428571429
1224,17:10:15,Santander,101,100.0, 101,San Gil,49.53,8416.0,10.0,50.46,8574.0,http://plebiscito.registraduria.gov.co/99PL/DPL27181ZZZZZZZZZZZZ_L1.htm,43.56,17462.0,40079.0,90,257,16.990,21.5625
1225,16:25:15,Santander,5,100.0, 5,San Joaquin,38.09,264.0,4.0,61.9,429.0,http://plebiscito.registraduria.gov.co/99PL/DPL27184ZZZZZZZZZZZZ_L1.htm,33.3,739.0,2219.0,,25,693,0.428571428571
1226,16:40:15,Santander,13,100.0, 13,San Jose De Miranda,67.25,1187.0,6.0,32.74,578.0,http://plebiscito.registraduria.gov.co/99PL/DPL27187ZZZZZZZZZZZZ_L1.htm,46.41,1818.0,3917.0,5,25,1.765,1.0
1227,16:35:15,Santander,9,100.0, 9,San Miguel,45.69,356.0,4.0,54.3,423.0,http://plebiscito.registraduria.gov.co/99PL/DPL27190ZZZZZZZZZZZZ_L1.htm,38.17,825.0,2161.0,,24,779,16.3846153846
